"","Gene","Annotation","amox_clauv_acid","ampicillin","cefalexin","cefazolin","cefovecin","cefpodoxime","ceftazidime","chloramphenicol","doxycycline","enrofloxacin","gentamicin","marbofloxacin","orbifloxacin","prado","tetracycline","trimeth_sulfameth"
"frlA","frlA","fructoselysine/psicoselysine transporter",NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA
"frlB","frlB","fructoselysine 6-phosphate deglycase",NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA
"frlC","frlC","fructoselysine 3-epimerase",NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA
"frlD","frlD","fructoselysine 6-kinase",NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA
"group_10099","group_10099","O-antigen ligase family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_1010","group_1010","hypothetical protein;pilus protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10124","group_10124","IS66 family transposase;IS66-like element ISEc8 family transposase",NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"group_1014","group_1014","hypothetical protein",NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1015","group_1015","antirestriction protein ArdA",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10181","group_10181","PilN family type IVB pilus formation outer membrane protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10211","group_10211","LysR family transcriptional regulator;DNA-binding transcriptional regulator;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_10218","group_10218","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"group_10282","group_10282","lipoprotein bor;increased serum survival lipoprotein Iss",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_10284","group_10284","6-phospho-alpha-glucosidase;inactive 6-phospho-alpha-glucosidase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_10295","group_10295","tail fiber assembly protein;phage tail protein",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_10334","group_10334","replication regulatory protein RepA",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10348","group_10348","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_10356","group_10356","type I toxin-antitoxin system toxin Ldr family protein;small toxic polypeptide LdrA/LdrC;small toxic polypeptide LdrB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_10385","group_10385","helix-turn-helix domain-containing protein;transposase;IS200/IS605 family element transposase accessory protein TnpB",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10428","group_10428","hypothetical protein",NA,NA,NA,7,NA,7,NA,7,7,NA,NA,7,NA,NA,7,7
"group_10432","group_10432","hypothetical protein;DNA-binding protein",NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,5,NA,NA,5
"group_1045","group_1045","conjugation system SOS inhibitor PsiB",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1046","group_1046","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10461","group_10461","site-specific integrase;tyrosine-type recombinase/integrase",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,NA,5,5
"group_10476","group_10476","hypothetical protein;DUF3363 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,4
"group_10500","group_10500","DeoR family transcriptional regulator",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10554","group_10554","phosphatase PAP2 family protein",NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,6,6,NA,6,NA
"group_10557","group_10557","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_10594","group_10594","DUF2773 domain-containing bactofilin;DUF2773 domain-containing protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10598","group_10598","5-carboxymethyl-2-hydroxymuconate Delta-isomerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_10621","group_10621","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_10640","group_10640","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_10684","group_10684","TrmB family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_10710","group_10710","type I-E CRISPR-associated protein Cas7/Cse4/CasC",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_1078","group_1078","hypothetical protein;type III secretion protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10787","group_10787","hypothetical protein",NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10802","group_10802","HEAT repeat domain-containing protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_10815","group_10815","DUF1440 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA
"group_10891","group_10891","phage portal protein",NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,5,5,NA,NA,NA
"group_1099","group_1099","hypothetical protein;threonine-rich inner membrane protein GfcA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
"group_1112","group_1112","histidine kinase;EscU/YscU/HrcU family type III secretion system export apparatus switch protein;flagellar biosynthesis protein FlhB;hypothetical protein;flhB HrpN YscU SpaS family protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1164","group_1164","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_11686","group_11686","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_1169","group_1169","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_1171","group_1171","neurotensin receptor R8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"group_11751","group_11751","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"group_11753","group_11753","conjugal transfer protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_11754","group_11754","radical SAM protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_11756","group_11756","AlpA family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_11757","group_11757","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_1181","group_1181","type-F conjugative transfer system protein TraW;conjugal transfer protein TraW;hypothetical protein",NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"group_1183","group_1183","conjugal transfer protein TraA",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_11973","group_11973","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"group_11978","group_11978","relaxase/mobilization nuclease domain-containing protein;relaxase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"group_11980","group_11980","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_1215","group_1215","shufflon protein B;shufflon protein D'",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1234","group_1234","LuxR family transcriptional regulator;invasion protein",7,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA
"group_1237","group_1237","trimethoprim-resistant dihydrofolate reductase DfrA15;trimethoprim-resistant dihydrofolate reductase DfrA7;trimethoprim-resistant dihydrofolate reductase DfrA5;trimethoprim-resistant dihydrofolate reductase DfrA14;trimethoprim-resistant dihydrofolate reductase DfrA1;trimethoprim-resistant dihydrofolate reductase DfrA17",NA,8,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,8,8
"group_1248","group_1248","hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1249","group_1249","DUF1327 domain-containing protein;YdfR family protein;hypothetical protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1331","group_1331","quaternary ammonium compound efflux SMR transporter QacL;EamA family transporter",NA,NA,NA,6,NA,6,6,6,6,NA,NA,NA,6,NA,NA,NA
"group_13341","group_13341","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13342","group_13342","radical SAM protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13343","group_13343","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13344","group_13344","competence CoiA-like family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13345","group_13345","site-specific DNA-methyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13346","group_13346","shufflon system plasmid conjugative transfer pilus tip adhesin PilV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13348","group_13348","lysis protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_13349","group_13349","alpha/beta hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_1352","group_1352","antitermination protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,4,NA
"group_13814","group_13814","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_1401","group_1401","DUF3596 domain-containing protein;site-specific integrase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_1408","group_1408","epoxyqueuosine reductase QueH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_14135","group_14135","HNH endonuclease",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"group_1425","group_1425","replication initiation protein",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1437","group_1437","bifunctional siderophore receptor/adhesin Iha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_1462","group_1462","trimethoprim-resistant dihydrofolate reductase DfrA7;trimethoprim-resistant dihydrofolate reductase DfrA5;trimethoprim-resistant dihydrofolate reductase DfrA14;trimethoprim-resistant dihydrofolate reductase DfrA15;trimethoprim-resistant dihydrofolate reductase DfrA1;trimethoprim-resistant dihydrofolate reductase DfrA17",NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,6,6,NA,6,6
"group_1463","group_1463","hypothetical protein;DUF262 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA
"group_1466","group_1466","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_1469","group_1469","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA
"group_1475","group_1475","transcription termination factor NusG;conjugal transfer protein TraB",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_148","group_148","invasion protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1509","group_1509","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA
"group_1511","group_1511","ArgR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_1514","group_1514","hypothetical protein;IS1380 family transposase;IS1380-like element ISEc9 family transposase",13,13,13,13,13,13,13,NA,13,13,13,13,NA,13,13,NA
"group_1520","group_1520","surface exclusion protein;entry exclusion protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_15598","group_15598","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_15599","group_15599","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_15601","group_15601","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_15602","group_15602","DNA-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_1569","group_1569","BCCT family transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,5,5
"group_1573","group_1573","fimbrial protein;long polar fimbria major subunit LpfA-O113",NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1574","group_1574","fimbrial protein",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1575","group_1575","type IV conjugative transfer system pilin TraA;pilin",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_1576","group_1576","pili assembly chaperone",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16249","group_16249","IS21-like element ISEc12 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"group_16250","group_16250","ATP-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"group_1626","group_1626","DUF945 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16327","group_16327","EamA family transporter;hypothetical protein",NA,NA,NA,NA,NA,6,NA,NA,6,6,NA,6,NA,NA,6,6
"group_16328","group_16328","tetracycline efflux MFS transporter Tet(A)",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,4
"group_16330","group_16330","hypothetical protein;DUF3363 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,4
"group_16331","group_16331","cysteine hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16332","group_16332","sulfonamide-resistant dihydropteroate synthase Sul2",NA,8,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,8,8
"group_16333","group_16333","APH(6)-I family aminoglycoside O-phosphotransferase;hypothetical protein;aminoglycoside O-phosphotransferase APH(6)-Id",NA,6,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,6,6
"group_16334","group_16334","relaxase;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,3,NA
"group_16335","group_16335","tetracycline resistance transcriptional repressor TetR(A);TetR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,5,5
"group_16337","group_16337","transcriptional regulator",NA,7,NA,NA,NA,NA,NA,7,7,7,NA,7,NA,NA,7,7
"group_16338","group_16338","phosphotransferase;aminoglycoside phosphotransferase APH(3');aminoglycoside O-phosphotransferase APH(3'')-Ib",NA,7,NA,NA,NA,NA,NA,7,7,NA,7,7,NA,NA,7,7
"group_16339","group_16339","hypothetical protein;replication protein C;replication protein",NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,5,5
"group_16340","group_16340","oxacillin-hydrolyzing class D beta-lactamase OXA-1",NA,NA,NA,NA,6,6,NA,NA,NA,6,6,6,6,NA,NA,NA
"group_16341","group_16341","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5",NA,NA,NA,NA,6,6,NA,NA,NA,6,6,6,6,NA,NA,NA
"group_16353","group_16353","plasmid transfer ATPase TraJ",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16354","group_16354","conjugal transfer protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16355","group_16355","hypothetical protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16356","group_16356","histidine phosphatase family protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16361","group_16361","phospholipase D family protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16362","group_16362","conjugal transfer protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16363","group_16363","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16373","group_16373","LysR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_16374","group_16374","chloramphenicol/florfenicol efflux MFS transporter FloR",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_16375","group_16375","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16376","group_16376","aminoglycoside N-acetyltransferase AAC(3)-IId",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3
"group_16377","group_16377","AAA family ATPase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16378","group_16378","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16379","group_16379","tunicamycin resistance protein;AAA family ATPase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA
"group_16380","group_16380","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16381","group_16381","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16382","group_16382","DUF3883 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16383","group_16383","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16384","group_16384","DUF3883 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_164","group_164","IS6-like element IS6100 family transposase;hypothetical protein;DDE-type integrase/transposase/recombinase;IS6 family transposase;IS6-like element IS26 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
"group_16451","group_16451","hypothetical protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16452","group_16452","hypothetical protein;IS91 family transposase;transposase",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16454","group_16454","tetracycline efflux MFS transporter Tet(B)",NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,4,NA
"group_16455","group_16455","TetR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,4,NA
"group_16456","group_16456","TetR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,4,NA
"group_16457","group_16457","ArsR family transcriptional regulator;winged helix-turn-helix transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16458","group_16458","ArsR family transcriptional regulator;winged helix-turn-helix transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,5,NA,5,NA
"group_16459","group_16459","antibiotic biosynthesis monooxygenase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16460","group_16460","amino acid-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16461","group_16461","LysR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16462","group_16462","sodium/glutamate symporter",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16463","group_16463","amino acid-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16464","group_16464","sodium/glutamate symporter",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16465","group_16465","AraC family transcriptional regulator;transposase;helix-turn-helix domain-containing protein",NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,5,NA,NA,5,NA
"group_16466","group_16466","antibiotic biosynthesis monooxygenase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16467","group_16467","sodium/glutamate symporter;lipopolysaccharide core heptose(II) kinase RfaY",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16468","group_16468","IS4 family transposase;IS4-like element ISVsa5 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3
"group_16469","group_16469","tetracyline resistance-associated transcriptional repressor TetC;transposase",NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,4,NA
"group_16470","group_16470","AraC family transcriptional regulator;transposase;helix-turn-helix domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,5,NA,5,NA
"group_16471","group_16471","LysR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16516","group_16516","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16519","group_16519","aminoglycoside O-phosphotransferase APH(3')-Ia",5,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"group_16530","group_16530","GNAT family N-acetyltransferase",NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,6,NA,NA,6,6
